age,gender,education_level,employment_status,employment_type,it_job_status,phishing_victim_count,perceived_knowledge,perceived_self_efficacy,perceived_severity,perceived_vulnerability,email_trust,knowledge_test_percent_correct,phishing_test_percent_correct,knowledge_test_total_correct,phishing_test_total_correct
54.0,2,3,7,4,3,1,2.5,3.666666667,3.0,2.666666667,4.0,40.0,63.0,4.0,5.0
28.0,2,6,5,4,3,1,2.0,4.0,3.0,3.333333333,3.333333333,60.0,63.0,6.0,5.0
22.0,1,8,1,3,5,2,4.5,2.0,6.0,4.333333333,2.666666667,80.0,88.0,8.0,7.0
35.0,2,8,11,4,1,2,6.0,6.0,6.0,5.0,1.0,80.0,50.0,8.0,4.0
43.0,2,6,4,4,1,2,5.0,4.0,6.0,3.0,3.0,90.0,88.0,9.0,7.0
45.0,2,8,10,4,5,2,4.0,4.0,6.0,4.666666667,2.333333333,80.0,38.0,8.0,3.0
37.0,1,6,7,4,1,2,6.0,5.666666667,6.0,2.0,1.0,80.0,100.0,8.0,8.0
24.0,2,7,1,2,5,2,5.5,5.0,6.0,3.333333333,1.333333333,90.0,50.0,9.0,4.0
38.0,1,4,7,6,5,2,6.0,5.0,6.0,2.0,1.666666667,50.0,88.0,5.0,7.0
45.0,2,8,11,4,4,2,4.5,5.333333333,5.666666667,5.0,1.666666667,100.0,63.0,10.0,5.0
15.0,2,9,1,1,1,2,6.0,4.333333333,6.0,2.333333333,2.333333333,80.0,75.0,8.0,6.0
30.0,2,7,10,4,5,2,4.0,3.0,6.0,3.333333333,1.666666667,80.0,63.0,8.0,5.0
32.0,2,7,4,4,4,2,6.0,6.0,6.0,4.0,1.0,80.0,,8.0,
27.0,1,8,10,6,5,2,4.0,3.666666667,4.333333333,4.666666667,3.333333333,70.0,50.0,7.0,4.0
35.0,2,5,9,4,1,2,5.5,4.666666667,6.0,4.0,4.0,60.0,88.0,6.0,7.0
52.0,2,6,8,6,4,2,5.0,5.666666667,6.0,3.0,1.333333333,90.0,50.0,9.0,4.0
20.0,2,7,1,3,3,2,6.0,6.0,6.0,1.666666667,2.666666667,90.0,75.0,9.0,6.0
20.0,2,7,1,3,5,2,5.5,5.0,6.0,3.0,1.666666667,80.0,88.0,8.0,7.0
18.0,2,9,1,1,5,2,6.0,6.0,6.0,2.0,2.333333333,100.0,50.0,10.0,4.0
19.0,2,4,4,2,5,2,4.0,3.666666667,5.666666667,4.666666667,1.666666667,80.0,63.0,8.0,5.0
32.0,2,8,11,4,2,2,6.0,5.333333333,6.0,3.333333333,1.0,70.0,,7.0,
51.0,2,7,1,6,5,2,5.0,5.0,5.333333333,3.666666667,3.0,90.0,88.0,9.0,7.0
23.0,2,8,10,3,5,2,4.0,3.666666667,6.0,3.333333333,2.666666667,70.0,100.0,7.0,8.0
18.0,2,7,1,3,3,2,5.5,3.666666667,6.0,4.333333333,3.333333333,80.0,50.0,8.0,4.0
27.0,2,8,4,4,5,2,5.0,4.0,5.666666667,3.333333333,1.666666667,80.0,75.0,8.0,6.0
37.0,2,5,4,4,1,2,6.0,5.0,6.0,2.666666667,3.0,80.0,88.0,8.0,7.0
31.0,2,6,7,2,3,2,5.5,4.333333333,6.0,2.333333333,2.666666667,70.0,63.0,7.0,5.0
21.0,2,7,1,3,5,2,5.0,4.666666667,6.0,3.0,2.0,90.0,75.0,9.0,6.0
24.0,1,6,7,3,4,2,4.5,4.0,6.0,3.666666667,2.333333333,60.0,88.0,6.0,7.0
55.0,2,8,11,4,1,2,5.0,5.0,6.0,3.0,1.0,90.0,63.0,9.0,5.0
18.0,2,9,1,1,5,2,4.5,4.0,6.0,3.0,1.0,100.0,75.0,10.0,6.0
17.0,2,9,1,1,5,2,6.0,6.0,6.0,2.333333333,1.666666667,70.0,63.0,7.0,5.0
26.0,3,5,4,4,5,2,4.5,4.666666667,6.0,4.666666667,2.0,80.0,88.0,8.0,7.0
17.0,2,9,1,1,4,2,5.5,4.666666667,6.0,3.666666667,3.666666667,70.0,88.0,7.0,7.0
34.0,2,5,4,8,1,2,6.0,5.0,6.0,3.0,2.0,70.0,50.0,7.0,4.0
41.0,2,4,4,6,1,2,5.0,1.666666667,6.0,5.666666667,2.0,80.0,75.0,8.0,6.0
23.0,1,4,1,2,4,2,5.0,5.0,6.0,4.333333333,3.0,90.0,75.0,9.0,6.0
28.0,2,6,7,4,1,2,6.0,5.666666667,6.0,2.0,1.666666667,90.0,50.0,9.0,4.0
20.0,2,7,1,3,4,2,5.5,6.0,6.0,4.0,4.333333333,80.0,38.0,8.0,3.0
20.0,2,7,1,3,4,2,5.5,6.0,6.0,4.333333333,2.666666667,80.0,63.0,8.0,5.0
15.0,2,9,1,1,5,2,5.5,5.333333333,6.0,3.0,1.333333333,100.0,88.0,10.0,7.0
35.0,1,5,7,4,4,2,4.0,4.666666667,6.0,4.333333333,1.666666667,90.0,75.0,9.0,6.0
24.0,1,8,11,3,5,2,1.0,1.333333333,4.0,2.666666667,3.666666667,80.0,,8.0,
36.0,2,6,1,4,5,2,6.0,5.333333333,6.0,2.333333333,2.0,100.0,75.0,10.0,6.0
23.0,2,5,4,4,4,2,6.0,6.0,6.0,1.333333333,3.666666667,70.0,100.0,7.0,8.0
27.0,2,7,11,4,4,2,5.5,4.0,6.0,2.666666667,1.333333333,100.0,88.0,10.0,7.0
21.0,2,7,1,3,4,2,5.0,5.0,6.0,2.666666667,2.0,80.0,63.0,8.0,5.0
29.0,1,8,11,5,5,2,4.5,4.0,4.333333333,2.666666667,2.666666667,70.0,88.0,7.0,7.0
51.0,1,6,12,6,5,1,2.0,2.666666667,5.333333333,4.0,2.0,80.0,63.0,8.0,5.0
27.0,2,8,1,3,2,2,6.0,6.0,6.0,1.0,3.666666667,90.0,,9.0,
23.0,1,8,11,5,3,2,4.0,4.0,6.0,4.333333333,3.333333333,70.0,100.0,7.0,8.0
26.0,1,8,11,3,5,2,6.0,6.0,6.0,1.666666667,3.333333333,60.0,75.0,6.0,6.0
18.0,2,7,1,3,5,2,5.5,6.0,6.0,3.0,1.666666667,90.0,,9.0,
17.0,2,4,1,2,1,2,6.0,5.333333333,6.0,2.333333333,1.0,70.0,50.0,7.0,4.0
24.0,1,8,11,3,5,2,2.0,4.0,5.666666667,2.666666667,4.666666667,70.0,75.0,7.0,6.0
21.0,2,7,1,3,5,2,5.0,3.666666667,6.0,3.0,1.0,90.0,75.0,9.0,6.0
24.0,1,7,11,3,4,2,6.0,5.666666667,5.0,2.333333333,2.666666667,80.0,88.0,8.0,7.0
24.0,2,7,5,4,5,2,5.5,5.0,6.0,1.333333333,4.333333333,80.0,75.0,8.0,6.0
27.0,2,8,10,4,5,2,5.0,5.0,5.333333333,4.666666667,2.0,50.0,75.0,5.0,6.0
19.0,2,4,1,2,1,2,6.0,6.0,6.0,2.0,1.333333333,90.0,75.0,9.0,6.0
25.0,1,7,11,3,5,2,4.5,4.666666667,5.333333333,6.0,2.666666667,70.0,63.0,7.0,5.0
29.0,1,8,11,3,5,2,1.0,3.0,6.0,4.666666667,3.0,70.0,88.0,7.0,7.0
30.0,1,8,11,4,5,2,5.0,6.0,5.666666667,2.0,3.666666667,70.0,75.0,7.0,6.0
47.0,1,8,11,4,5,2,3.5,4.0,6.0,2.666666667,2.666666667,80.0,88.0,8.0,7.0
20.0,2,7,1,2,5,2,1.5,5.666666667,6.0,4.666666667,1.0,60.0,38.0,6.0,3.0
44.0,1,8,11,5,4,2,5.0,4.666666667,6.0,3.666666667,4.333333333,70.0,63.0,7.0,5.0
25.0,1,7,1,3,5,2,4.0,3.333333333,6.0,4.666666667,1.666666667,90.0,88.0,9.0,7.0
55.0,2,8,11,4,4,2,6.0,4.666666667,6.0,4.666666667,2.333333333,90.0,38.0,9.0,3.0
59.0,1,8,10,5,1,2,4.0,3.0,5.0,4.0,3.0,60.0,38.0,6.0,3.0
41.0,2,8,11,5,4,2,3.0,3.333333333,6.0,4.666666667,2.0,70.0,75.0,7.0,6.0
50.0,2,8,11,4,5,2,5.0,5.0,6.0,3.0,1.0,100.0,75.0,10.0,6.0
52.0,1,8,10,5,1,1,4.0,2.666666667,6.0,4.666666667,1.0,70.0,50.0,7.0,4.0
21.0,1,7,1,3,5,2,6.0,6.0,5.333333333,1.0,2.333333333,80.0,63.0,8.0,5.0
20.0,1,7,1,3,5,2,6.0,4.0,6.0,2.0,3.333333333,60.0,100.0,6.0,8.0
35.0,1,7,5,3,4,1,3.0,2.333333333,6.0,5.0,1.666666667,90.0,50.0,9.0,4.0
28.0,2,8,11,4,1,2,5.5,5.0,6.0,3.0,2.666666667,80.0,50.0,8.0,4.0
25.0,1,7,5,8,5,2,6.0,5.0,6.0,3.0,5.0,70.0,63.0,7.0,5.0
63.0,2,8,11,8,5,2,4.5,4.333333333,6.0,5.0,2.0,90.0,75.0,9.0,6.0
72.0,2,8,11,8,5,2,5.0,3.0,6.0,3.333333333,1.666666667,70.0,75.0,7.0,6.0
18.0,1,9,1,1,5,2,5.5,5.666666667,6.0,4.0,3.333333333,80.0,88.0,8.0,7.0
69.0,1,8,11,5,3,2,3.5,4.0,4.333333333,3.0,3.0,30.0,,3.0,
34.0,1,8,11,4,4,1,5.0,4.333333333,6.0,3.0,2.333333333,90.0,75.0,9.0,6.0
46.0,2,8,11,4,4,1,3.0,2.666666667,5.0,5.0,1.666666667,60.0,50.0,6.0,4.0
23.0,2,7,1,3,5,2,3.5,4.0,6.0,4.0,4.0,70.0,63.0,7.0,5.0
63.0,2,6,9,7,4,2,5.0,4.333333333,4.333333333,2.333333333,2.0,40.0,50.0,4.0,4.0
20.0,1,7,1,3,5,2,5.5,5.666666667,6.0,2.666666667,1.666666667,70.0,63.0,7.0,5.0
25.0,1,8,1,4,1,2,5.0,4.333333333,6.0,3.0,3.666666667,50.0,88.0,5.0,7.0
64.0,1,7,5,6,1,2,6.0,6.0,6.0,2.666666667,1.0,60.0,50.0,6.0,4.0
23.0,1,7,11,3,2,2,4.0,3.666666667,3.666666667,3.333333333,3.666666667,30.0,63.0,3.0,5.0
20.0,2,7,6,3,4,2,2.0,1.0,1.0,3.0,4.333333333,80.0,38.0,8.0,3.0
52.0,1,4,7,4,5,1,3.5,4.333333333,6.0,3.333333333,3.333333333,70.0,63.0,7.0,5.0
24.0,1,7,11,3,3,2,3.0,3.0,3.666666667,4.333333333,4.0,60.0,63.0,6.0,5.0
62.0,2,8,11,6,5,2,3.0,4.0,4.666666667,2.333333333,3.666666667,80.0,50.0,8.0,4.0
69.0,2,8,11,8,4,2,5.5,5.666666667,6.0,3.0,2.666666667,100.0,100.0,10.0,8.0
36.0,2,8,10,5,3,2,5.0,5.0,6.0,4.0,2.333333333,90.0,63.0,9.0,5.0
43.0,1,8,10,4,5,2,6.0,3.666666667,6.0,6.0,1.0,60.0,38.0,6.0,3.0
55.0,1,8,10,4,1,2,5.0,5.0,6.0,5.333333333,1.666666667,60.0,75.0,6.0,6.0
25.0,1,8,11,3,5,2,4.5,5.333333333,6.0,5.0,2.333333333,70.0,63.0,7.0,5.0
22.0,1,7,11,3,5,2,2.5,2.333333333,6.0,3.666666667,3.0,80.0,75.0,8.0,6.0
51.0,2,8,11,8,2,2,4.5,4.333333333,4.0,2.0,4.0,90.0,75.0,9.0,6.0
66.0,2,7,1,8,1,2,5.5,5.0,6.0,2.0,2.0,80.0,75.0,8.0,6.0
36.0,1,8,11,5,4,2,6.0,6.0,6.0,4.0,2.0,90.0,63.0,9.0,5.0
59.0,1,8,11,4,5,1,3.5,4.666666667,6.0,4.0,2.0,90.0,75.0,9.0,6.0
52.0,1,6,7,4,5,1,2.5,2.0,4.666666667,4.0,3.0,50.0,50.0,5.0,4.0
24.0,2,8,11,3,5,2,1.0,6.0,6.0,4.0,5.333333333,80.0,75.0,8.0,6.0
59.0,1,5,5,4,5,2,1.0,1.0,6.0,5.0,1.0,60.0,38.0,6.0,3.0
46.0,2,7,1,4,5,2,4.0,4.0,4.666666667,3.0,2.333333333,80.0,88.0,8.0,7.0
46.0,1,5,7,4,1,2,3.0,3.0,6.0,2.333333333,3.0,40.0,50.0,4.0,4.0
21.0,1,7,1,3,5,2,4.5,5.0,6.0,3.0,3.0,70.0,63.0,7.0,5.0
22.0,1,7,1,3,5,2,1.0,4.0,6.0,2.666666667,3.666666667,70.0,88.0,7.0,7.0
36.0,2,8,11,5,4,2,4.0,5.0,5.0,3.0,1.666666667,90.0,75.0,9.0,6.0
55.0,2,4,9,4,5,1,1.0,3.0,6.0,6.0,1.0,60.0,50.0,6.0,4.0
18.0,3,7,1,3,5,2,5.0,3.666666667,6.0,3.666666667,1.333333333,80.0,88.0,8.0,7.0
54.0,1,8,11,4,1,2,5.0,4.333333333,5.666666667,3.333333333,3.666666667,90.0,63.0,9.0,5.0
56.0,2,8,11,4,5,2,4.5,4.0,5.666666667,3.0,1.333333333,90.0,88.0,9.0,7.0
39.0,1,7,7,2,5,2,5.0,5.0,6.0,3.666666667,1.333333333,60.0,50.0,6.0,4.0
44.0,2,9,1,1,5,-9,,,,,,90.0,50.0,9.0,4.0
46.0,1,8,9,4,4,2,5.0,5.0,6.0,4.0,3.333333333,70.0,63.0,7.0,5.0
40.0,2,8,11,4,5,2,5.0,5.0,6.0,1.333333333,4.333333333,70.0,63.0,7.0,5.0
72.0,2,8,10,8,5,2,5.0,3.666666667,5.666666667,2.666666667,1.0,80.0,88.0,8.0,7.0
55.0,2,7,9,6,4,2,6.0,5.0,6.0,2.666666667,3.0,70.0,50.0,7.0,4.0
49.0,2,8,11,4,1,2,6.0,6.0,6.0,3.666666667,1.0,90.0,50.0,9.0,4.0
20.0,2,7,11,3,5,2,2.5,3.0,6.0,3.666666667,3.666666667,60.0,75.0,6.0,6.0
24.0,2,8,11,3,5,2,3.0,4.0,3.333333333,2.333333333,2.333333333,90.0,75.0,9.0,6.0
23.0,1,8,11,3,5,2,2.5,3.333333333,5.333333333,3.666666667,2.666666667,70.0,75.0,7.0,6.0
53.0,1,7,11,6,4,2,4.0,4.0,6.0,2.0,1.666666667,70.0,88.0,7.0,7.0
52.0,1,5,5,8,5,2,5.0,5.333333333,6.0,2.0,2.0,40.0,50.0,4.0,4.0
28.0,1,8,11,2,5,1,5.0,5.0,5.666666667,4.0,2.333333333,70.0,75.0,7.0,6.0
36.0,1,8,11,4,5,2,1.5,2.666666667,6.0,3.666666667,1.0,60.0,50.0,6.0,4.0
40.0,1,8,10,6,4,1,4.0,4.0,5.0,3.333333333,2.333333333,50.0,50.0,5.0,4.0
48.0,1,8,11,4,5,2,3.5,4.0,4.666666667,2.666666667,3.333333333,80.0,50.0,8.0,4.0
56.0,2,8,11,4,1,2,6.0,5.0,5.333333333,4.0,1.0,90.0,50.0,9.0,4.0
26.0,2,7,11,3,4,2,5.0,5.0,6.0,3.666666667,1.333333333,100.0,75.0,10.0,6.0
35.0,1,8,11,4,5,1,4.0,2.0,4.0,5.666666667,2.666666667,70.0,75.0,7.0,6.0
52.0,1,5,9,4,4,2,5.0,4.0,6.0,3.333333333,1.666666667,90.0,63.0,9.0,5.0
32.0,1,8,11,8,5,2,5.5,5.666666667,6.0,1.666666667,3.666666667,70.0,75.0,7.0,6.0
39.0,1,7,9,8,4,1,4.0,4.0,6.0,4.0,1.666666667,80.0,63.0,8.0,5.0
55.0,1,8,10,4,4,2,5.0,5.0,6.0,3.666666667,4.0,60.0,88.0,6.0,7.0
32.0,1,8,11,4,5,2,1.0,1.333333333,6.0,4.333333333,1.666666667,70.0,38.0,7.0,3.0
50.0,1,8,11,5,4,2,5.5,5.0,6.0,3.333333333,2.333333333,70.0,38.0,7.0,3.0
68.0,1,5,5,8,5,2,5.5,3.333333333,4.666666667,3.0,2.333333333,80.0,50.0,8.0,4.0
38.0,1,8,11,8,5,2,2.0,3.0,6.0,3.666666667,3.0,70.0,75.0,7.0,6.0
57.0,1,8,11,5,1,2,6.0,6.0,6.0,1.0,1.0,60.0,75.0,6.0,6.0
28.0,1,8,11,3,3,2,3.5,3.333333333,6.0,3.0,1.333333333,80.0,63.0,8.0,5.0
54.0,1,8,11,6,4,2,4.5,4.333333333,6.0,6.0,1.666666667,70.0,75.0,7.0,6.0
24.0,1,7,7,3,5,2,3.0,4.0,6.0,5.333333333,2.0,60.0,75.0,6.0,6.0
65.0,2,7,7,6,3,2,6.0,6.0,6.0,4.666666667,1.666666667,80.0,63.0,8.0,5.0
76.0,2,6,9,8,5,2,5.0,5.0,6.0,3.0,3.0,90.0,63.0,9.0,5.0
74.0,1,4,9,8,-9,2,4.0,4.0,6.0,3.0,2.666666667,60.0,38.0,6.0,3.0
23.0,1,7,4,3,4,2,3.5,4.666666667,6.0,3.333333333,4.0,70.0,63.0,7.0,5.0
48.0,2,5,5,8,5,2,4.5,3.333333333,5.0,3.0,4.0,50.0,38.0,5.0,3.0
67.0,2,7,12,8,1,2,5.5,5.0,4.333333333,2.0,2.666666667,70.0,63.0,7.0,5.0
36.0,2,7,9,3,5,2,3.0,4.0,6.0,5.666666667,1.0,70.0,63.0,7.0,5.0
21.0,1,7,1,3,5,2,5.5,4.0,6.0,2.666666667,3.0,90.0,63.0,9.0,5.0
37.0,1,8,11,4,4,2,2.5,5.0,4.333333333,3.0,2.666666667,60.0,63.0,6.0,5.0
25.0,1,8,11,3,1,2,4.0,3.666666667,6.0,5.0,4.333333333,50.0,88.0,5.0,7.0
71.0,1,8,10,8,5,1,6.0,5.333333333,6.0,6.0,4.333333333,40.0,63.0,4.0,5.0
45.0,2,4,4,4,3,2,6.0,4.666666667,6.0,3.333333333,2.666666667,80.0,63.0,8.0,5.0
34.0,1,7,8,4,5,2,5.0,4.666666667,6.0,2.333333333,1.666666667,90.0,50.0,9.0,4.0
58.0,2,4,9,4,5,2,2.5,4.0,6.0,3.333333333,2.0,60.0,63.0,6.0,5.0
59.0,1,4,-9,4,1,2,5.0,4.0,5.666666667,4.333333333,1.333333333,80.0,63.0,8.0,5.0
59.0,2,7,11,5,1,2,6.0,6.0,6.0,2.666666667,1.0,80.0,88.0,8.0,7.0
54.0,2,8,11,4,4,2,5.0,4.0,6.0,3.666666667,2.0,70.0,63.0,7.0,5.0
63.0,1,8,11,6,1,2,6.0,5.0,6.0,5.333333333,1.0,80.0,50.0,8.0,4.0
44.0,1,8,10,4,1,2,6.0,6.0,5.333333333,1.666666667,2.333333333,70.0,88.0,7.0,7.0
23.0,2,8,1,3,5,2,5.0,4.666666667,6.0,3.0,3.666666667,80.0,63.0,8.0,5.0
64.0,2,10,9,4,1,2,6.0,5.666666667,6.0,3.0,2.666666667,80.0,38.0,8.0,3.0
24.0,2,7,7,3,4,2,3.5,3.666666667,5.666666667,4.333333333,3.666666667,60.0,63.0,6.0,5.0
37.0,1,8,11,4,5,2,3.5,3.666666667,6.0,2.333333333,3.666666667,60.0,75.0,6.0,6.0
53.0,2,8,11,4,1,2,3.5,4.333333333,6.0,3.0,3.333333333,70.0,75.0,7.0,6.0
