age_category,gender,education_level,employment_status,annual_income,has_it_training,has_it_job,previous_incidents_phishing_email,previous_incidents_data_breach,previous_incidents_computer_virus,previous_incidents_device_hacked,previous_incidents_credit_card_fraud,previous_incidents_identity_theft,previous_incidents_any,digital_literacy_wiki,digital_literacy_meme,digital_literacy_phishing,digital_literacy_bookmark,digital_literacy_cache,digital_literacy_ssl,digital_literacy_ajax,digital_literacy_rss,digital_literacy_other,digital_literacy_total,emotion_dread,emotion_terror,emotion_anxiety,emotion_nervous,emotion_scared,emotion_panic,emotion_fear,emotion_worry,emotion_total,investigated_sender,investigated_links,investigated_external,email_recency,email_account_work,email_account_student,email_account_personal,email_content_work_related,email_content_personal,email_sender_work_colleague,email_sender_friend_family,email_sender_acquaintance,email_sender_organization,sender_relationship_duration,expected_this_email,felt_similar_before,previous_sender_emails,previous_sender_interaction,email_seemed_different,noticed_sender_issues,noticed_content_issues,noticed_technical_issues,actions_requested_click_link,actions_requested_open_attachment,actions_requested_respond_info,actions_requested_external_action,sender_issues_none,sender_issues_name_different,sender_issues_email_different,subject_line_issues_none,subject_line_issues_different,email_body_issues_none,email_body_issues_typos,email_body_issues_missing,email_body_issues_strange,email_body_issues_more_info,email_body_issues_less_info,suspicion_confidence,overall_suspicion,perceived_harm,final_decision,decision_confidence,actions_taken_clicked,actions_taken_reported,actions_taken_deleted,actions_taken_ignored
1.0,1.0,3.0,0.0,1.0,0,0,0,1,1,0,0,0,1,0.6201573056070395,1.0712502473796741,-1.5,1.0037827256964325,-0.755567894936018,-0.6596563071135183,-0.47529053187482856,-0.5961281047189732,-0.37978513835453176,-0.1856930775905249,-0.6962139772270776,-0.5250102105244444,-0.9348224856614552,0.6908063357343275,-0.7271621589539377,-0.6686795336591597,0.2239910455009576,-0.1568211485332684,-0.3492390166655072,0,1,0,2.0,0,1,0,0,0,0,0,0,1,1.0,0.0,5,1,0,2,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0.7386486715660846,0.0,-0.9695038178204507,0.0,-0.4830955266054257,0,0,1,0
3.0,1.0,3.0,1.0,3.0,0,0,1,0,0,1,0,0,1,1.2853425343934681,1.0712502473796741,1.2659574468085109,1.0037827256964325,1.417525608198547,2.638625228454073,3.5369022696659322,3.165845371662896,-0.37978513835453176,1.6672718104338893,-0.6962139772270776,0.561794365401953,1.5623060719273634,0.6908063357343275,0.21814864768618136,2.1415038513308438,1.1818474900774212,1.5142238768212297,0.8968020827190304,0,1,0,4.0,0,0,1,0,1,0,0,0,1,5.0,0.0,4,0,1,4,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,-1.5346545316439286,0.0,-0.9695038178204507,0.0,0.5959838283551463,0,0,1,0
4.0,0.0,2.0,0.0,2.0,0,0,0,0,0,0,1,0,1,-0.04502792317938903,0.4030039318357315,0.5744680851063831,0.2914914902131562,-0.031203393891162938,0.9894844606702773,-0.47529053187482856,1.2848586334719614,-0.37978513835453176,0.2902221793330664,0.21985704544012974,-0.5250102105244444,-0.10244629979851563,-0.9909319347799529,-0.7271621589539377,-0.6686795336591597,-0.733865399075506,-0.1568211485332684,-0.4606324549855818,1,0,0,2.0,0,0,1,0,1,0,0,0,1,6.0,0.0,2,0,0,5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.2839880309240819,1.0,-0.9695038178204507,0.0,0.5959838283551463,1,1,1,0
4.0,0.0,2.0,0.0,1.0,0,0,0,1,1,1,1,0,1,-0.04502792317938903,1.0712502473796741,1.2659574468085109,1.0037827256964325,-0.755567894936018,0.16491407677837952,0.5277576685103617,0.34436526437649406,-0.37978513835453176,0.3552940525644349,-0.6962139772270776,-0.5250102105244444,-0.9348224856614552,-0.9909319347799529,-0.7271621589539377,-0.6686795336591597,-0.733865399075506,-0.9923436612105175,-0.7836286701365063,0,0,0,4.0,0,0,1,0,1,0,0,0,1,1.0,0.0,5,0,0,5,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0.2839880309240819,1.0,-0.17980772561081051,0.0,0.056444150874860294,0,0,1,0
3.0,1.0,3.0,1.0,3.0,0,0,1,0,1,1,0,0,1,1.2853425343934681,1.0712502473796741,-0.8085106382978723,1.0037827256964325,1.417525608198547,2.638625228454073,0.5277576685103617,0.34436526437649406,0.842295752390249,0.9247149323446031,-0.6962139772270776,-0.5250102105244444,0.7299298860644239,-0.9909319347799529,-0.7271621589539377,-0.6686795336591597,1.1818474900774212,1.5142238768212297,-0.022749570272687203,0,0,1,2.0,0,0,1,0,1,0,0,0,1,1.0,0.0,5,0,0,5,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0.2839880309240819,1.0,-0.9695038178204507,0.0,0.5959838283551463,0,0,1,0
4.0,1.0,4.0,0.0,1.0,0,0,0,0,0,0,0,0,0,-0.04502792317938903,1.0712502473796741,1.2659574468085109,0.2914914902131562,-0.755567894936018,-0.6596563071135183,-0.47529053187482856,-0.5961281047189732,-0.37978513835453176,-0.03141741286399085,-0.6962139772270776,-0.5250102105244444,-0.9348224856614552,-0.9909319347799529,-0.7271621589539377,-0.6686795336591597,-0.733865399075506,-0.9923436612105175,-0.7836286701365063,0,0,0,3.0,0,0,1,0,1,0,0,0,0,1.0,0.0,5,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.6253332503599234,0.0,-0.9695038178204507,0.0,-1.0226352040857116,1,1,0,0
5.0,0.0,2.0,0.0,1.0,0,0,0,1,0,0,1,0,1,0.6201573056070395,-0.9334886992521536,-0.8085106382978723,0.2914914902131562,1.417525608198547,-0.6596563071135183,-0.47529053187482856,-0.5961281047189732,-0.37978513835453176,-0.16929833506590392,0.21985704544012974,1.6485989413283506,1.5623060719273634,0.6908063357343275,1.1634594543263004,0.26804826133750803,1.1818474900774212,1.5142238768212297,1.0311434346240789,1,0,0,3.0,0,0,1,0,1,0,0,0,1,1.0,0.0,5,0,0,5,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0.7386486715660846,1.0,2.18928055101811,0.0,0.5959838283551463,0,0,1,0
2.0,0.0,3.0,1.0,3.0,0,0,1,0,0,0,0,0,1,0.6201573056070395,1.0712502473796741,-1.5,0.2914914902131562,-0.031203393891162938,0.9894844606702773,1.530805868895552,2.225352002567429,-0.37978513835453176,0.535283649231937,-0.6962139772270776,-0.5250102105244444,-0.10244629979851563,-0.1500627995228127,-0.7271621589539377,1.2047760563341758,1.1818474900774212,-0.1568211485332684,0.0036133689814425787,1,0,0,3.0,0,0,1,0,1,0,0,0,1,1.0,0.0,2,0,0,5,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.2839880309240819,1.0,-0.9695038178204507,1.0,0.056444150874860294,1,1,0,0
3.0,0.0,3.0,1.0,1.0,0,0,0,1,1,0,1,0,1,1.2853425343934681,1.0712502473796741,1.2659574468085109,1.0037827256964325,1.417525608198547,-0.6596563071135183,-0.47529053187482856,-0.5961281047189732,-0.37978513835453176,0.43699983115719776,-0.6962139772270776,-0.5250102105244444,-0.9348224856614552,-0.9909319347799529,-0.7271621589539377,0.26804826133750803,-0.733865399075506,-0.9923436612105175,-0.6665376957619229,1,0,0,2.0,0,0,1,0,1,0,0,0,1,1.0,0.0,5,0,0,5,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,-0.17067260971792073,0.0,0.6098883665988296,0.0,0.5959838283551463,1,1,0,0
5.0,0.0,2.0,0.0,4.0,0,0,0,1,1,0,1,0,1,0.6201573056070395,-1.6017350147960963,1.2659574468085109,-1.1330909807533964,1.417525608198547,-0.6596563071135183,-0.47529053187482856,-0.5961281047189732,-0.37978513835453176,-0.17133841299969413,0.21985704544012974,-0.5250102105244444,-0.10244629979851563,-0.9909319347799529,-0.7271621589539377,-0.6686795336591597,-0.733865399075506,-0.9923436612105175,-0.565072769070238,1,0,0,5.0,0,0,1,0,1,0,0,0,1,4.0,0.0,3,1,0,4,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0.7386486715660846,1.0,1.3995844588084698,0.0,0.5959838283551463,0,0,1,0
