age;education;education_TEXT;it_experience;it_experience_TEXT;employment;employment_TEXT;bfi_extraversion;bfi_agreeableness;bfi_conscientiousness;bfi_neuroticism;bfi_openness;practical_score_pre;total_score_pre;practical_score_post;total_score_post;category;pre.haisq_email_attitude;pre.haisq_email_behaviour;pre.haisq_internet_attitude;pre.haisq_internet_behaviour_short;pre.haisq_weird_total;post.haisq_email_attitude;post.haisq_email_behaviour;post.haisq_internet_attitude;post.haisq_internet_behaviour_short;post.haisq_weird_total;post.sa13_engagement;post.sa13_attentiveness;post.sa13_resistance;post.sa13_concernedness;post.sa13_total;post.iuipc8_ctrl;post.iuipc8_awa;post.iuipc8_coll;post.iuipc8_total;susceptibility_pre;susceptibility_post
46-55;Secondary school diploma;;No, other education or occupation;;Retired;;3;4.5;4.5;3.5;2.5;7.75;30.25;8.5;35.2;1;9;9;11;9;38;11;11;11;8;41;3.666666667;3.333333333;3.75;4;3.692307692;5.5;7;5.5;5.875;0.4;0.2
36-45;University degree (Bachelor/Master);;No, other education or occupation;;Civil Service;;2;3;3;3.5;3;7.5;24.8;8.5;45.2;0;13;13;10;8;44;13;13;15;10;51;3.333333333;3;4;3.666666667;3.538461538;6.5;6.5;6;6.25;0.4;0
26-35;Secondary school diploma;;No, other education or occupation;;Employee;;2.5;3.5;4.5;4.5;3.5;9.5;32.4;9.75;32.05;1;14;13;15;10;52;10;10;11;7;38;3.333333333;3.666666667;3.5;3.666666667;3.538461538;5;6;6;5.75;0.2;0.2
36-45;Secondary school diploma;;No, other education or occupation;;Employee;;2;2;4;3;3.5;9;39.5;9;41.7;2;14;13;14;9;50;15;13;13;10;51;3.333333333;3;4.25;4.333333333;3.769230769;6;7;6;6.25;0.2;0.2
36-45;Secondary school diploma;;Yes, other IT security related education or occupation:;;Self-employed;;3.5;4;4.5;2;4;11.25;44.55;12.75;41.25;2;14;15;15;10;54;12;10;12;6;40;3.666666667;4.333333333;4;3.666666667;3.923076923;7;7;7;7;0.2;0
36-45;University degree (Bachelor/Master);;No, other education or occupation;;Other:;;3.5;3;4.5;1;3;6.75;26.65;8.75;48.25;1;13;8;10;5;36;15;15;15;10;55;3.333333333;2.666666667;3.5;3.333333333;3.230769231;5;7;6.5;6.25;0.4;0.2
36-45;University degree (Bachelor/Master);;No, other education or occupation;;Employee;;3;3.5;4;2;2;13;41.3;13;49.9;2;15;10;15;9;49;14;13;15;10;52;3;3;3;2;2.769230769;4;6;3.5;4.25;0.2;0.2
46-55;Secondary school diploma;;Yes, other IT security related education or occupation:;studied IT and compsci a few years ago but didn't finish degree.;Other:;unable to work due to health;2;2;3;5;4;10;35.5;10;45.5;1;15;15;15;10;55;15;15;15;10;55;5;5;4.25;2;4.076923077;7;7;7;7;0.2;0.2
18-25;University degree (Bachelor/Master);;No, other education or occupation;;Employee;;1.5;4;4;2.5;4;8.75;39.15;8.75;45.85;2;10;12;11;6;39;12;10;14;7;43;3.666666667;3.666666667;4;3.333333333;3.692307692;5;5;4.75;4.875;0.2;0.2
46-55;University degree (Bachelor/Master);;No, other education or occupation;;Employee;;4;2;3;2;4;11.5;38.1;11.5;51.8;1;15;15;11;9;50;14;13;13;9;49;3.333333333;3.666666667;3.25;4;3.538461538;5;4;2.5;3.5;0.2;0
