"ID","duration","RecordedDate","mailboxfrequency","securitytraining","pre_self_1","pre_self_2","pre_self_3","attention_check_pre","pre_knowledge_1","pre_knowledge_2","pre_knowledge_3","pre_knowledge_4","pre_knowledge_5","pre_knowledge_6","pre_knowledge_7","pre_knowledge_8","pre_knowledge_9","pre_knowledge_10","pre_SA.13_1","pre_SA.13_2","pre_SA.13_3","pre_SA.13_4","pre_SA.13_5","pre_SA.13_6","pre_SA.13_7","pre_SA.13_8","pre_SA.13_9","pre_SA.13_10","pre_SA.13_11","pre_SA.13_12","pre_SA.13_13","pre_haisq_knowledge_1","pre_haisq_knowledge_2","pre_haisq_knowledge_3","pre_haisq_knowledge_4","pre_haisq_knowledge_5","pre_haisq_knowledge_6","pre_class_1","pre_class_2","pre_class_3","pre_class_4","pre_class_5","pre_class_6","pre_class_7","pre_class_8","pre_class_9","pre_class_10","pre_class_11","pre_class_12","pre_class_13","pre_class_14","pre_class_15","pre_class_16","pre_class_17","pre_class_18","pre_class_19","pre_class_20","pre_class_21","pre_class_22","pre_class_23","pre_class_24","video_1_check","video_2_check","video_3_check","Q300_First.Click","Q300_Last.Click","Q300_Page.Submit","Q300_Click.Count","t0_video1_q","t0_video1_t_First.Click","t0_video1_t_Last.Click","t0_video1_t_Page.Submit","t0_video1_t_Click.Count","t0_video2_q","t0_video2_t_First.Click","t0_video2_t_Last.Click","t0_video2_t_Page.Submit","t0_video2_t_Click.Count","t0_video3_q","t0_video3_t_First.Click","t0_video3_t_Last.Click","t0_video3_t_Page.Submit","t0_video3_t_Click.Count","Q320_First.Click","Q320_Last.Click","Q320_Page.Submit","Q320_Click.Count","Q313_First.Click","Q313_Last.Click","Q313_Page.Submit","Q313_Click.Count","Q267_First.Click","Q267_Last.Click","Q267_Page.Submit","Q267_Click.Count","Q328_First.Click","Q328_Last.Click","Q328_Page.Submit","Q328_Click.Count","Q333_First.Click","Q333_Last.Click","Q333_Page.Submit","Q333_Click.Count","Q331_First.Click","Q331_Last.Click","Q331_Page.Submit","Q331_Click.Count","Q269_First.Click","Q269_Last.Click","Q269_Page.Submit","Q269_Click.Count","feedback_like","feedback_dislike","feedback_general","feedback_00","feedback_01","feedback_02","feedback_10","feedback_11","feedback_12","feedback_2_videos_1","feedback_2_videos_2","feedback_2_videos_3","feedback_2","feedback_assign","post_class_1","post_class_2","post_class_3","post_class_4","post_class_5","post_class_6","post_class_7","post_class_8","post_class_9","post_class_10","post_class_11","post_class_12","post_class_13","post_class_14","post_class_15","post_class_16","post_class_17","post_class_18","post_class_19","post_class_20","post_class_21","post_class_22","post_class_23","post_class_24","post_attention","post_knowledge_1","post_knowledge_2","post_knowledge_3","post_knowledge_4","post_knowledge_5","post_knowledge_6","post_knowledge_7","post_knowledge_8","post_knowledge_9","post_knowledge_10","haisq_emailinternet_1","haisq_emailinternet_2","haisq_emailinternet_3","haisq_emailinternet_4","haisq_emailinternet_5","haisq_emailinternet_6","haisq_emailinternet_7","haisq_emailinternet_8","haisq_emailinternet_9","haisq_emailinternet_10","haisq_emailinternet_11","haisq_emailinternet_12","haisq_emailinternet_13","haisq_emailinternet_14","haisq_emailinternet_15","haisq_emailinternet_16","haisq_emailinternet_17","haisq_emailinternet_18","dem_age","dem_edu","dem_edu_8_TEXT","dem_it","dem_it_3_TEXT","dem_bfi_1","dem_bfi_2","dem_bfi_3","dem_bfi_4","dem_bfi_5","dem_bfi_6","dem_bfi_7","dem_bfi_8","dem_bfi_9","dem_bfi_10","post_self_1","post_self_2","post_self_3","post_sa.13_1","post_sa.13_2","post_sa.13_3","post_sa.13_4","post_sa.13_5","post_sa.13_6","post_sa.13_7","post_sa.13_8","post_sa.13_9","post_sa.13_10","post_sa.13_11","post_sa.13_12","post_sa.13_13","post_comments","post_errors","post_quality_q","post_quality_q_3_TEXT","SC0","string","PROLIFIC_PID","SESSION_ID","STUDY_ID","Timestamp_before_class_pre","Timestamp_train","Timestamp_train_end","Timestamp_before_class_post","Timestamp_after_class_post","Timestamp_demographics","condition","participant_score","reports","NOSCORE","group","pre.sa13_engagement","pre.sa13_attentiveness","pre.sa13_resistance","pre.sa13_concernedness","pre.sa13_total","post.sa13_engagement","post.sa13_attentiveness","post.sa13_resistance","post.sa13_concernedness","post.sa13_total","pre.haisq_email_knowledge","pre.haisq_internet_knowledge","post.haisq_email_knowledge","post.haisq_email_attitude","post.haisq_email_behaviour","post.haisq_internet_knowledge","post.haisq_internet_attitude","post.haisq_internet_behaviour","post.haisq_emailInternet_total","bfi_extraversion","bfi_agreeableness","bfi_conscientiousness","bfi_neuroticism","bfi_openness","class_phish_accuracy_pre","class_nophish_accuracy_pre","class_phish_accuracy_post","class_nophish_accuracy_post","knowledge_total_pre","knowledge_total_post","proficiency_pre","proficiency_post","prof_group","train_group","assignment_fit","outlier","feedback_total"
1,1569,"","Multiple times an hour","Yes, more than once",5,5,5,"Sunfish",NA,NA,1,1,NA,0,NA,1,NA,1,2,5,4,1,4,4,5,5,3,5,4,4,3,5,5,5,4,5,5,NA,NA,1,0,NA,1,NA,1,NA,1,0,NA,NA,0,NA,1,NA,NA,1,NA,1,NA,1,NA,"Postman","Always wait before clicking","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","I prefer the option I received.","I prefer the training to be recommended based on personalisation, but the choice remaining with me.",1,1,NA,NA,1,NA,1,NA,1,NA,NA,1,0,NA,1,NA,1,1,NA,1,NA,1,NA,0,0,1,1,NA,NA,0,NA,1,NA,1,"",3,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,"26-35","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",2,4,2,4,5,2,2,4,5,5,4,4,4,4,4,3,4,5,5,1,2,5,4,4,2,4,"","","Yes, you can use this data","","40.9","001101010110010101101010","","","","","","","","","","2",29.9,"","","2",2.33333333333333,4.33333333333333,4.5,3.66666666666667,3.83333333333333,2.33333333333333,3.66666666666667,4.75,3.33333333333333,3.61538461538462,15,14,12,15,14,15,15,14,85,2,3,4.5,4.5,5,0.666666666666667,0.8,1,0.714285714285714,0.8,0.666666666666667,23.9,24.6,2,"education","education",NA,"keep"
2,1716,"","Multiple times a day","Yes, once",3,3,3,"Sunfish",1,NA,NA,0,NA,1,1,1,NA,1,4,1,2,2,3,2,3,1,4,4,3,3,1,5,5,5,5,5,5,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,0,NA,1,1,1,NA,1,NA,0,0,NA,"Postman","Always wait before clicking","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","I prefer the option I received.","I prefer the training to be assigned based on personalisation.",NA,1,1,NA,1,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,0,NA,1,NA,NA,1,0,NA,1,1,NA,1,NA,NA,NA,1,"",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"26-35","Graduate university degree (Bachelor/Master)","","Yes, studies in Computer Science, IT Security, Cybersecurity or similar","",2,3,4,2,4,3,4,4,2,3,3,3,3,2,3,1,3,4,1,2,3,4,2,2,2,5,"","","Yes, you can use this data","","35","100101110010010110010110","","","","","","","","","","2",25,"","","1",2.66666666666667,2,3,2.33333333333333,2.66666666666667,2.33333333333333,2.33333333333333,3.5,2,2.61538461538462,15,15,15,15,15,15,15,15,90,2.5,3.5,2.5,2,3.5,1,0.571428571428571,1,0.8,0.833333333333333,0.8,22,21.2,1,"education","education",NA,"keep"
3,1735,"","Multiple times a day","Yes, more than once",5,5,5,"Sunfish",1,NA,NA,1,1,NA,NA,NA,1,NA,3,5,5,3,5,5,5,4,5,4,3,5,3,5,5,5,5,5,5,1,NA,NA,1,1,NA,NA,NA,1,1,NA,1,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","I prefer the option I received.","I prefer to select the training myself.",NA,0,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,0,0,NA,0,0,NA,0,NA,0,NA,1,1,NA,NA,0,1,1,NA,"Phishing can occur through emails, phone calls, and text messages.",3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,"26-35","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",2,5,3,2,4,4,3,5,2,4,5,5,5,5,5,4,5,4,1,4,4,4,3,3,2,4,"","","Yes, you can use this data","","35.3","100110001101110001100101","","","","","","","","","","2",28.3,"","","2",3.66666666666667,5,4.5,3.66666666666667,4.33333333333333,4.33333333333333,4.66666666666667,3.25,2.66666666666667,3.69230769230769,15,15,9,10,8,9,9,9,54,3,4,3.5,2,4,1,0,0.833333333333333,0.285714285714286,1,0.666666666666667,23.3,20.5,2,"education","education",NA,"keep"
4,1798,"","Multiple times an hour","Yes, more than once",5,5,5,"Sunfish",NA,1,NA,0,1,NA,1,NA,1,NA,2,2,2,4,2,3,4,5,5,1,3,2,3,3,5,5,4,5,5,NA,0,NA,0,0,NA,0,NA,1,NA,NA,1,NA,1,NA,1,1,1,NA,NA,1,1,NA,1,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","Alternative 2: I would prefer receiving only the tests and reminder training.","I prefer the training to be assigned based on personalisation.",1,NA,1,NA,NA,1,NA,1,NA,1,0,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,0,1,NA,1,NA,NA,1,NA,1,NA,"Phishing can occur through emails, phone calls, and text messages.",5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,"26-35","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",2,1,2,1,2,4,2,2,4,5,5,5,5,2,3,4,2,4,5,4,3,1,3,2,2,5,"","","Yes, you can use this data","","39","010110101001010110001101","","","","","","","","","","2",29,"","","2",2.66666666666667,2.33333333333333,3.75,2.66666666666667,2.91666666666667,3,3,3.75,2.33333333333333,3.07692307692308,13,14,15,15,13,15,15,15,88,3,1.5,2.5,2.5,3.5,0.333333333333333,1,0.833333333333333,1,0.8,0.8,23,24.9,2,"education","education",NA,"prefer medium"
5,1944,"","Multiple times a day","Yes, more than once",3,3,3,"Sunfish",NA,NA,1,0,1,NA,1,NA,NA,NA,3,4,4,4,4,1,4,4,5,3,4,5,3,5,5,5,5,5,5,NA,NA,1,1,0,NA,1,NA,NA,1,NA,1,0,NA,NA,1,1,1,NA,NA,1,NA,NA,0,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","Alternative 1: I would prefer receiving the full training.","I prefer the training to be assigned based on personalisation.",1,0,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,0,1,NA,NA,NA,1,0,NA,1,1,NA,0,1,1,NA,NA,NA,1,NA,1,1,"Phishing can occur through emails, phone calls, and text messages.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"36-45","Graduate university degree (Bachelor/Master)","","No, other education or occupation","",1,5,5,3,3,1,4,4,3,1,3,4,4,4,4,3,5,4,5,4,4,4,5,5,5,1,"","","Yes, you can use this data","","34.7","001110100101100110101001","","","","","","","","","","2",25.7,"","","2",3.66666666666667,3,4,4,3.75,4,4,3.5,5,4.07692307692308,15,15,15,15,15,15,15,15,90,1,4.5,4,3,2,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.75,0.833333333333333,20.7,24.8,1,"education","education",NA,"prefer full"
6,2122,"","Multiple times a week","No, never",1,3,3,"Sunfish",NA,1,1,NA,NA,1,NA,1,0,NA,4,2,1,1,2,2,5,3,5,3,5,5,4,3,5,5,4,4,4,NA,0,1,NA,NA,1,NA,1,1,NA,NA,1,1,0,NA,NA,NA,NA,1,1,1,NA,1,NA,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","Alternative 1: I would prefer receiving the full training.","I prefer the training to be assigned based on personalisation.",0,NA,NA,1,0,NA,1,NA,NA,0,0,NA,NA,NA,0,1,0,1,NA,NA,NA,1,NA,1,0,1,NA,NA,1,0,NA,1,NA,NA,"Phishing can occur through emails, phone calls, and text messages.",4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,3,"18-25","Secondary or school diploma","","No, other education or occupation","",1,2,4,3,4,2,2,4,5,2,4,4,4,1,4,4,2,5,4,1,2,4,4,4,2,5,"","","Yes, you can use this data","","28.3","011001011001110001011010","","","","","","","","","","2",20.3,"","","1",2,2,4,4.66666666666667,3.16666666666667,1.33333333333333,3.33333333333333,4.5,3.33333333333333,3.23076923076923,13,12,14,14,14,15,15,13,85,1.5,2,3.5,4,3,0.833333333333333,0.833333333333333,0.333333333333333,0.666666666666667,0.8,0.6,20.3,18.4,1,"education","education",NA,"prefer full"
7,2193,"","Multiple times a day","No, never",4,5,4,"Sunfish",NA,0,NA,0,1,NA,0,NA,NA,1,3,4,5,5,5,4,4,3,4,4,4,4,4,1,4,2,2,5,2,NA,0,NA,1,1,NA,0,NA,NA,1,0,NA,NA,0,1,NA,1,0,NA,NA,0,NA,NA,1,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","Alternative 2: I would prefer receiving only the tests and reminder training.","I prefer to select the training myself.",1,NA,1,NA,NA,1,NA,0,1,NA,NA,1,0,NA,NA,1,NA,NA,1,1,NA,1,1,NA,0,1,NA,1,NA,NA,1,NA,1,1,"",3,3,4,4,3,5,4,2,4,4,4,2,2,4,2,4,3,2,"18-25","Associate or technical degree","","No, other education or occupation","",1,4,4,2,3,3,4,5,3,4,4,5,4,4,3,3,4,3,2,4,4,2,3,3,3,3,"","","Yes, you can use this data","","28","010110100110011010101001","","","","","","","","","","2",18,"","","1",4.33333333333333,4.33333333333333,3.75,4,4.08333333333333,4,3.33333333333333,2.5,3,3.15384615384615,7,9,10,12,10,10,8,9,59,2,4,3.5,2.5,3.5,0.5,0.5,0.833333333333333,0.833333333333333,0.4,0.833333333333333,17,22.3,0,"education","education",NA,"prefer medium"
8,2218,"","Multiple times a day","Yes, once",2,3,2,"Sunfish",1,NA,NA,0,0,NA,NA,1,1,1,2,2,2,2,2,2,3,4,3,4,3,3,3,5,2,5,4,4,4,0,NA,NA,0,1,NA,NA,1,0,NA,0,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,1,NA,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","I prefer the option I received.","I prefer to select the training myself.",NA,0,1,NA,NA,0,1,NA,NA,0,NA,1,1,NA,NA,1,1,1,NA,1,NA,1,NA,0,0,NA,1,1,NA,NA,1,1,NA,NA,"",4,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,4,"26-35","Secondary or school diploma","","No, other education or occupation","",3,4,5,4,2,2,4,4,4,5,4,4,4,4,5,3,5,3,4,2,2,4,4,4,4,4,"","","Yes, you can use this data","","26.5","100110011010011001101010","","","","","","","","","","2",17.5,"","","1",2,2,3.5,3,2.66666666666667,2.66666666666667,4.33333333333333,3.75,4,3.69230769230769,12,12,14,14,14,14,15,14,85,2.5,4,4,4,3.5,0.333333333333333,1,0.5,0.857142857142857,0.666666666666667,0.8,14.5,22.5,0,"education","education",NA,"keep"
9,2352,"","Multiple times a day","Yes, more than once",4,4,4,"Sunfish",NA,NA,1,1,1,NA,NA,NA,1,1,4,3,4,4,4,3,3,4,4,4,4,4,4,5,5,5,5,5,5,NA,NA,1,0,1,NA,NA,NA,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,1,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","Alternative 2: I would prefer receiving only the tests and reminder training.","I prefer the training to be recommended based on personalisation, but the choice remaining with me.",1,1,NA,NA,NA,0,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,1,NA,1,1,NA,0,1,1,NA,NA,NA,1,1,1,NA,"",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"26-35","Associate or technical degree","","Yes, studies in Computer Science, IT Security, Cybersecurity or similar","",3,3,2,4,1,1,2,3,2,1,4,4,4,4,4,4,4,5,5,4,4,5,4,4,4,5,"","","Yes, you can use this data","","41.8","001110001110010110101001","","","","","","","","","","2",30.8,"","","2",4,3.33333333333333,3.75,4,3.75,4,4,5,4,4.30769230769231,15,15,15,15,15,15,15,15,90,2,2.5,2.5,3,1,0.833333333333333,1,0.833333333333333,1,1,0.833333333333333,25.8,27.3,2,"education","education",NA,"prefer medium"
10,2353,"","Multiple times a week","No, never",4,3,2,"Sunfish",1,NA,NA,0,1,NA,1,NA,NA,1,1,2,4,1,3,3,3,4,4,3,2,3,2,2,1,4,5,5,5,1,NA,NA,0,1,NA,0,NA,NA,1,0,NA,1,1,NA,NA,NA,NA,1,1,NA,1,0,NA,"Postman","Look for the 'who-area'","Sending fake copies of real emails","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","I prefer the option I received.","I prefer the training to be recommended based on personalisation, but the choice remaining with me.",NA,1,0,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,1,NA,NA,1,0,NA,1,1,NA,NA,1,NA,1,1,"",3,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,"18-25","Secondary or school diploma","","No, other education or occupation","",1,3,2,4,2,1,2,2,5,5,5,5,4,2,4,4,4,3,4,1,3,2,3,4,3,4,"","","Yes, you can use this data","","28.3","100110100110110001010110","","","","","","","","","","2",17.3,"","","1",2,2.66666666666667,3.5,2.33333333333333,2.75,2,4,3.25,3.33333333333333,3.15384615384615,7,15,13,13,14,15,15,15,85,1,2.5,4,4.5,3.5,0.5,0.833333333333333,0.833333333333333,1,0.8,0.833333333333333,17.3,25.7,0,"education","education",NA,"keep"
