"","CASE","REF","CO01","correct_total_pt","correct_percent_pt","Per_Know","E_Trust","Per_Sev","Per_SE","Per_Vuln","correct_total_kt","correct_percent_kt","Sex","DE02_01","Edu1","Edu_other","Job","Job_othr","Anstllung","Anst_offen","Input","ITSJOB","PK1","PK2","ET1","ET2","ET3","PS1","PS2","PS3","PV1","PV2","PV3","SE1","SE2","SE3","Phish_Vic_Count","KT01","KT02","KT05","KT07","KT09","KT10","KT14","KT15","KT16","KT17","PTP5","PTP6","PTP9","PTP10","PTE4","PTE5","PTE7","PTE10","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME_SUM","LASTPAGE","MAXPAGE","DEG_TIME"
"1",87,"test",1,5,63,2.5,4,3,3.666666667,2.666666667,4,40,2,54,3,NA,7,NA,4,NA,NA,3,2,3,4,3,5,2,4,3,2,4,2,3,5,3,1,1,2,1,1,2,2,1,1,1,2,1,2,1,2,1,2,1,1,7,4,9,14,3,4,5,3,2,2,2,4,4,2,2,2,2,2,5,13,6,2,5,1,105,24,24,342
"2",89,"test",1,5,63,2,3.333333333,3,4,3.333333333,6,60,2,28,6,NA,5,NA,4,NA,NA,3,2,-9,2,5,3,2,4,3,2,5,3,2,5,5,1,2,1,1,2,2,1,1,2,1,1,1,2,1,2,1,2,1,1,3,3,10,15,2,7,4,3,3,2,1,3,3,2,2,2,3,1,2,7,2,6,2,2,90,24,24,355
"3",120,"lnkd",1,7,88,4.5,2.666666667,6,2,4.333333333,8,80,1,22,8,NA,1,NA,3,NA,NA,5,5,4,3,2,3,6,6,6,5,4,4,2,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,1,3,8,21,64,20,28,24,13,23,18,7,20,22,14,110,8,34,2,18,5,23,25,2,2,514,24,24,58
"4",156,"mph",1,4,50,6,1,6,6,5,8,80,2,35,8,NA,11,NA,4,NA,NA,1,6,6,1,1,1,6,6,6,6,5,4,6,6,6,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,12917,25,50,113,28,59,47,12,321,19,23,27,23,23,23,29,20,6,3,7,35,12,8,3,922,24,24,26
"5",159,"mph",1,7,88,5,3,6,4,3,9,90,2,43,6,NA,4,NA,4,NA,NA,1,5,5,3,3,3,6,6,6,3,3,3,4,4,4,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,1,1,1,1,5,8,64,73,8,29,38,10,15,9,8,9,8,15,13,22,5,3,9,11,16,10,14,4,406,24,24,72
"6",160,"mph",1,3,38,4,2.333333333,6,4,4.666666667,8,80,2,45,8,NA,10,NA,4,NA,NA,5,4,4,3,2,2,6,6,6,5,5,4,4,4,4,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,3,11,59,161,44,81,56,12,77,41,22,39,76,27,26,39,667,4,28,11,109,35,14,9,1010,24,24,8
"7",161,"mph",1,8,100,6,1,6,5.666666667,2,8,80,1,37,6,NA,7,NA,4,NA,NA,1,6,6,1,1,1,6,6,6,2,2,2,5,6,6,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,9,70,114,10,65,96,50,99,76,10,43,17,18,49,39,18,2,14,5,58,58,6,3,931,24,24,27
"8",174,"mph",1,4,50,5.5,1.333333333,6,5,3.333333333,9,90,2,24,7,NA,1,NA,2,NA,"Moin!
Zu den Bilder-Fragen:
Bilder allein machen es leider recht schwer, wirklich eine Überprüfung der E-Mails zu machen.
Bspw. sehe ich mir IMMER vor dem anklicken eines Links die wahre Zieladresse an. Im Thunderbird wird diese direkt in einer unteren Ecke angezeigt. Wenn der Link also nicht identisch ist ODER eine Adresse aufweist, die nicht sinnvoll erscheint, ist klar, dass es sich um Phishing handelt. Das kann man halt von einem Bild nicht absehen, außer dem Deutsche-Bank-Bild, wobei da auch Rechtschreibfehler zum Ausschluss führten.
Oft habe ich ""Würde nicht klicken"" angeklickt, da bspw. wie bei der Slack-Information von mir aus ja eine Aktion im voraus notwendig gewesen ist. Wenn man wirklich mit dem entsprechenden Gerät sich eingeloggt hat, weiß man eher dass es richtig ist, als wenn man da nichts gemacht hat. Wenn so eine Aufforderung zum PW-Wechsel also ""einfach so"" auftaucht, logge ich mich im entsprechenden Dienst ein ohne den Link zu benutzen. Ich rufe die Webseite selbstständig auf, kann im Firefox das Zertifikat anschauen und letztlich das Passwort ändern.

Zu der Frage, ob häufiges PW-Wechseln den Schutz erhöht: Hier wurde gesagt, dass dem nicht so ist, weil es zu häufigem Doppelt-Nutzen eines Passwortes führt.
Naja, aber auch nur dann, wenn man kein Passwort-Generator & -Manager nutzt. Dort könnte ich praktisch täglich das Passwort wechseln lassen, um zu verhindern, dass ein Account mehr als 24h im schlimmsten Fall übernommen wird.
ABER da gibts dann halt noch eine wichtige Sache: Zwei-Faktor-Authentifizierung.
Ich finde sie extrem nervig und aufwändig, da ich selten mein Handy in der Nähe habe, aber ich verstehe das es sinnvoll ist.
Das wurde hier gar nicht berücksichtigt.

D.h.: Die Bilder-Fragen sind eher semi-optimal, rein optisch können Mails auch super seriös sein, und trotzdem falsch verlinken.
Gerne können Sie mich über oliver@blackblast.de dazu anschreiben :)",5,6,5,1,2,1,6,6,6,4,3,3,5,6,4,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,753,12,70,96,28,68,56,52,68,43,19,22,115,53,219,48,39,14,31,8,29,36,16,498,966,24,24,3
"9",181,"mph",1,7,88,6,1.666666667,6,5,2,5,50,1,38,4,NA,7,NA,6,NA,NA,5,6,6,1,3,1,6,6,6,3,2,1,5,5,5,2,1,2,1,1,2,1,2,2,2,1,2,2,2,2,1,2,1,1,3,45,108,244,60,203,83,96,25,14,17,23,39,80,38,228,173,12,42,10,37,21,53,5,1309,24,24,10
"10",182,"mph",1,5,63,4.5,1.666666667,5.666666667,5.333333333,5,10,100,2,45,8,NA,11,NA,4,NA,"Das Thema ist finde ich schwer in einer Umfrage zu testen. Bei der Rechnung aus China kommt es auf den Kontext an (gab es eine passende Bestellung), bei anderen Beispielen würde man z.B. die URL prüfen (""Copy URL"" statt nur auf den Link klicken) oder die jeweilige Webseite direkt aufrufen. 

Viel Erfolg noch!",4,5,4,2,2,1,6,5,6,6,3,6,5,5,6,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,1,2,22,2197,62,194,21,74,44,41,101,142,47,18,63,162,85,20,51,5,22,20,19,54,25,168,1313,24,24,6
