StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,timing_consent_First Click,timing_consent_Last Click,timing_consent_Page Submit,timing_consent_Click Count,browser_meta_Browser,browser_meta_Version,browser_meta_Operating System,browser_meta_Resolution,consent_question,timing_screening_First Click,timing_screening_Last Click,timing_screening_Page Submit,timing_screening_Click Count,expert_training,expert_job,age,recall_email,gender,gender_3_TEXT,ethnicity,ethnicity_9_TEXT,timing_elicitation_First Click,timing_elicitation_Last Click,timing_elicitation_Page Submit,timing_elicitation_Click Count,elicitation1,elicitation2,elicitation3,timing_choose_First Click,timing_choose_Last Click,timing_choose_Page Submit,timing_choose_Click Count,brief_summary,describe_suspicious,describe_hard,describe_ask,timing_noticing_First Click,timing_noticing_Last Click,timing_noticing_Page Submit,timing_noticing_Click Count,notice1,notice2,attention,notice3,notice3_4_TEXT,notice4,notice4_3_TEXT,notice5,notice5_5_TEXT,timing_expecting_First Click,timing_expecting_Last Click,timing_expecting_Page Submit,timing_expecting_Click Count,expect1,expect2,expect3,expect4,expect5,expect6,timing_suspecting_First Click,timing_suspecting_Last Click,timing_suspecting_Page Submit,timing_suspecting_Click Count,suspect1,suspect3,suspect2,suspect4,suspect5,suspect5_sure_1,timing_deciding_First Click,timing_deciding_Last Click,timing_deciding_Page Submit,timing_deciding_Click Count,investigate1,investigate1_9_TEXT,investigate2,decide,decide_sure_1,act,emotions_1,emotions_2,emotions_3,emotions_4,emotions_5,emotions_6,emotions_7,emotions_8,harm,timing_full_story_First Click,timing_full_story_Last Click,timing_full_story_Page Submit,timing_full_story_Click Count,full_story,full_story_easy,timing_demographics_First Click,timing_demographics_Last Click,timing_demographics_Page Submit,timing_demographics_Click Count,education,employment,income,digital_literacy_1,digital_literacy_2,digital_literacy_3,digital_literacy_4,digital_literacy_5,digital_literacy_6,digital_literacy_7,digital_literacy_8,digital_literacy_9,victim,Q_TotalDuration,UserAgent,ResponseID,excluded,rid,RISN,V,opp,field,gc,term,LS
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,"I have read the information given above. I understand that my participation is completely voluntary, and that I may terminate my participation at any time. By clicking “I agree” below I voluntarily agree to participate in this study.

 

Please select ""I agree"" below if you would like to participate.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Have you ever received formal training in computer science, software engineering, IT, computer networks, or a related technical field?","Have you ever worked in a ""high tech"" job such as computer programming, IT, or computer networking?",What is your age in years?,"In this survey, we are interested in hearing about emails you received that were suspicious or potentially harmful in some way. This can be any email that you were suspicious about, including emails that you were concerned about but ended up not being a problem. 
We are very interested in hearing about emails where it was hard for you to figure out what to do. For example, this could be an email message that you were unsure of and had to look closely at it to figure out if it could be harmful. Many of these emails ask you to do something, like click a link, open an attachment, or respond to the email with information.   
Can you remember any suspicious or potentially harmful email messages that you've received? It is OK to go look through your email account and then continue with the survey, to help you recall if you've ever received email messages like this.",What gender do you identify as? - Selected Choice,What gender do you identify as? - Other (fill in the blank) - Text,Which categories below best describe you? Select all that apply: - Selected Choice,"Which categories below best describe you? Select all that apply: - Some Other Race, Ethnicity or Origin (please specify) - Text",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"First, to help you to remember emails that were suspicious or potentially harmful, please list some different ways that an email message can be unsafe or cause security problems:","Next, think about different ways you know of to recognize an email that is suspicious or potentially harmful, and make a list of these below:","Take a moment to think about times in the past when you personally received a suspicious or potentially harmful email. Please list as many of these emails as you can remember, using only a couple of words to describe each one. You may want to re-read your answers to the previous questions to jog your memory.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Choose one email message from the list above that it's easy for you to recall details about. You will be answering questions about this email in the rest of the survey. Briefly summarize that email, and what happened when you received it.","In approximately 5 words, please describe what made this email seem suspicious:","In approximately 5 words, please describe why it was hard for you to figure out how to deal with this email:","In approximately 5 words, please describe what the email was asking you to do:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What aspects of the email message stood out to you? Please check all of the aspects below that you remember noticing, even if you don't remember specific details:",How long ago did you receive the email?,"To help us monitor the quality of our data, please select ""Somewhat disagree"" from the choices below.",At which of your email accounts did you receive the email? - Selected Choice,At which of your email accounts did you receive the email? - Other (please describe) - Text,What was the context of the email? - Selected Choice,"What was the context of the email? - Other (please describe, briefly) - Text",Who did the email appear to come from? - Selected Choice,Who did the email appear to come from? - Other (please describe) - Text,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please indicate your agreement or disagreement with the following statement:
When I read the email message, I felt like I had received other email messages like this one before.","Before receiving this email, had you ever received an email message from the sender?","Before receiving this email, had you ever interacted with the sender in some other way than email?  (For example, if you had previously talked to the sender face-to-face, or visited their website.)","Before receiving this email, how long had you known the sender?",Did you expect to receive this specific email?,"Please indicate your agreement or disagreement with the following statement:
This email message seemed different from the email messages I typically receive.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Many suspicious emails ask you to do something.  Was the email asking you to do any of the following? Please check all that apply.,"Think about the subject line of the email.  Did the subject line feel normal, or did it feel ""off"" in some way?","Think about who the email said it was from.  Did this sender information make sense, or did it feel ""off"" in some way?","Think about the main body of the email.  Did the main body of the email seem normal, or did you notice anything that felt ""off"" about it? Please check all that apply.","When you read the email, did you believe that the email was harmful?","How sure or unsure are you about your answer to the previous question?  Please indicate your answer below on a scale from 0-100, where 0 means COMPLETELY UNSURE and 100 means COMPLETELY SURE. - Completely Unsure:Completely Sure",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What actions did you take to learn more about the email? Please check all that apply. - Selected Choice,What actions did you take to learn more about the email? Please check all that apply. - Other - Text,In what ways did you attempt to learn about the sender of the email? Please check all that apply.,"After you learned more about the email, did you decide that the email was safe or not?","How sure or unsure are you about your answer to the previous question? 
Please indicate your answer below on a scale from 0-100, where 0 means COMPLETELY UNSURE and 100 means COMPLETELY SURE. - Completely Unsure:Completely Sure",What action(s) did you take with this email? Please check all that apply.,"At any point while handling this email, to what extent did you experience these emotions? - Dread","At any point while handling this email, to what extent did you experience these emotions? - Terror","At any point while handling this email, to what extent did you experience these emotions? - Anxiety","At any point while handling this email, to what extent did you experience these emotions? - Nervous","At any point while handling this email, to what extent did you experience these emotions? - Scared","At any point while handling this email, to what extent did you experience these emotions? - Panic","At any point while handling this email, to what extent did you experience these emotions? - Fear","At any point while handling this email, to what extent did you experience these emotions? - Worry","Please indicate your agreement or disagreement with the following statement:
I feel like something harmful happened because of this email message.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Below, please write the story of the email as if you were telling it to a friend. Use as much detail as you can, including any thoughts or recollections about what happened you might have had as you were filling out the survey. Your story should be at least 4 or 5 sentences long (minimum 300 characters).",How easy or difficult was it for you to remember a suspicious or potentially harmful email to answer questions about in this survey?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is the last grade or class you completed in school?,What is your current employment status?,What was your total household income before taxes during the past 12 months?,"How familiar are you with the following Internet-related terms? 
Please rate your understanding of each term below from None (no understanding) to Full (full understanding): - Wiki","How familiar are you with the following Internet-related terms? 
Please rate your understanding of each term below from None (no understanding) to Full (full understanding): - Meme","How familiar are you with the following Internet-related terms? 
Please rate your understanding of each term below from None (no understanding) to Full (full understanding): - Phishing","How familiar are you with the following Internet-related terms? 
Please rate your understanding of each term below from None (no understanding) to Full (full understanding): - Bookmark","How familiar are you with the following Internet-related terms? 
Please rate your understanding of each term below from None (no understanding) to Full (full understanding): - Cache","How familiar are you with the following Internet-related terms? 
Please rate your understanding of each term below from None (no understanding) to Full (full understanding): - SSL","How familiar are you with the following Internet-related terms? 
Please rate your understanding of each term below from None (no understanding) to Full (full understanding): - AJAX","How familiar are you with the following Internet-related terms? 
Please rate your understanding of each term below from None (no understanding) to Full (full understanding): - RSS","How familiar are you with the following Internet-related terms? 
Please rate your understanding of each term below from None (no understanding) to Full (full understanding): - Filtibly",Have you ever had one of the following experiences? Select all that apply:,Q_TotalDuration,UserAgent,ResponseID,excluded,rid,RISN,V,opp,field,gc,term,LS
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID16_FIRST_CLICK""}","{""ImportId"":""QID16_LAST_CLICK""}","{""ImportId"":""QID16_PAGE_SUBMIT""}","{""ImportId"":""QID16_CLICK_COUNT""}","{""ImportId"":""QID15_BROWSER""}","{""ImportId"":""QID15_VERSION""}","{""ImportId"":""QID15_OS""}","{""ImportId"":""QID15_RESOLUTION""}","{""ImportId"":""QID14""}","{""ImportId"":""QID34_FIRST_CLICK""}","{""ImportId"":""QID34_LAST_CLICK""}","{""ImportId"":""QID34_PAGE_SUBMIT""}","{""ImportId"":""QID34_CLICK_COUNT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID24""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_9_TEXT""}","{""ImportId"":""QID33_FIRST_CLICK""}","{""ImportId"":""QID33_LAST_CLICK""}","{""ImportId"":""QID33_PAGE_SUBMIT""}","{""ImportId"":""QID33_CLICK_COUNT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID47_FIRST_CLICK""}","{""ImportId"":""QID47_LAST_CLICK""}","{""ImportId"":""QID47_PAGE_SUBMIT""}","{""ImportId"":""QID47_CLICK_COUNT""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID32_FIRST_CLICK""}","{""ImportId"":""QID32_LAST_CLICK""}","{""ImportId"":""QID32_PAGE_SUBMIT""}","{""ImportId"":""QID32_CLICK_COUNT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID53""}","{""ImportId"":""QID21""}","{""ImportId"":""QID54""}","{""ImportId"":""QID54_4_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID55_3_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID56_5_TEXT""}","{""ImportId"":""QID31_FIRST_CLICK""}","{""ImportId"":""QID31_LAST_CLICK""}","{""ImportId"":""QID31_PAGE_SUBMIT""}","{""ImportId"":""QID31_CLICK_COUNT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID57""}","{""ImportId"":""QID84""}","{""ImportId"":""QID30_FIRST_CLICK""}","{""ImportId"":""QID30_LAST_CLICK""}","{""ImportId"":""QID30_PAGE_SUBMIT""}","{""ImportId"":""QID30_CLICK_COUNT""}","{""ImportId"":""QID62""}","{""ImportId"":""QID64""}","{""ImportId"":""QID63""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID28_FIRST_CLICK""}","{""ImportId"":""QID28_LAST_CLICK""}","{""ImportId"":""QID28_PAGE_SUBMIT""}","{""ImportId"":""QID28_CLICK_COUNT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID69_9_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID73""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_8""}","{""ImportId"":""QID22_12""}","{""ImportId"":""QID22_15""}","{""ImportId"":""QID22_17""}","{""ImportId"":""QID22_23""}","{""ImportId"":""QID22_26""}","{""ImportId"":""QID22_29""}","{""ImportId"":""QID74""}","{""ImportId"":""QID25_FIRST_CLICK""}","{""ImportId"":""QID25_LAST_CLICK""}","{""ImportId"":""QID25_PAGE_SUBMIT""}","{""ImportId"":""QID25_CLICK_COUNT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID35_FIRST_CLICK""}","{""ImportId"":""QID35_LAST_CLICK""}","{""ImportId"":""QID35_PAGE_SUBMIT""}","{""ImportId"":""QID35_CLICK_COUNT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID9_7""}","{""ImportId"":""QID9_8""}","{""ImportId"":""QID9_9""}","{""ImportId"":""QID10""}","{""ImportId"":""Q_TotalDuration""}","{""ImportId"":""UserAgent""}","{""ImportId"":""QSEDResponseID""}","{""ImportId"":""excluded""}","{""ImportId"":""rid""}","{""ImportId"":""RISN""}","{""ImportId"":""V""}","{""ImportId"":""opp""}","{""ImportId"":""field""}","{""ImportId"":""gc""}","{""ImportId"":""term""}","{""ImportId"":""LS""}"
2020-02-03 14:59:00,2020-02-04 09:53:15,IP Address,100,68055,TRUE,2020-02-04 09:53:59,R_1Kmb9iwrBZB13kN,,,,,anonymous,EN,234.804,289.399,295.26,5,Firefox,72.0,Macintosh,1440x900,I agree,12.139,15.335,15.904,5,No,No,20,"Yes, I have received email messages like this in the past.",Man,,White,,6.242,105.998,165.958,7,"Links in emails can be very unsafe.  Asking for personal information, or installing viruses."," Misspelled Company name
too good to be true offers
","Fake Apple ID emails saying someone has gotten in your account and you have to change your password.
Emails saying I won a bunch of money
",6.745,128.971,129.901,9,"Well it looked like any other apple email, the name said Apple in it and it said that someone had gotten into my account and that it needed me to change my password.  THen on the page it asked me to change my password and put my old one in.",It didnt link to apple website,I couldn't tell it was fake,Change my apple password,9.909,61.694,64.716,14,"Sender's name,Request for action in the email",Within the last week,Somewhat disagree,Student Email account,,"Other (please describe, briefly)",Company warning me of security breach,"A company, business or other organization",,10.812,117.649,120.082,12,Strongly agree,Yes,No,I did not know the sender,No,Somewhat disagree,9.935,131.092,132.755,14,"Click on a link or button,Take some action outside of the email",I didn't notice anything that felt off about the subject line,I didn't notice anything that felt off about the sender,I didn't notice anything that felt off about the main body of the email,"No, I did not think it was harmful",11,36.464,142.647,146.501,23,Hovered over one or more of the links in the email to see where it went,,I went to the website of the sender,"No, the email was definitely not safe",9,Deleted the email,Not at all,Not at all,Not at all,Moderately,Not at all,Not at all,Somewhat,Somewhat,Strongly disagree,19.486,117.989,120.65,3,I got an email in my inbox from a sender that said Apple ID.  The email told me someone had gotten into my account and I needed to change my password.  I clicked on the link in the email and it was a fake apple page that wanted my current password and username. I realized it was fake before putting in my information luckily.,Somewhat easy,7.203,94.347,96.304,20,"Some college, no 4-year degree",Student,"Less than $25,000",Good,Full,None,Full,Little,None,None,None,None,"Received a notification from a company that your information was involved in a data breach,Had a virus on your computer or mobile device",68055,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:72.0) Gecko/20100101 Firefox/72.0,R_1Kmb9iwrBZB13kN,NULL,,,,,,,,
2020-02-06 11:25:42,2020-02-06 11:31:33,IP Address,100,351,TRUE,2020-02-06 11:31:34,R_2v33GZ2kMZJCpqf,,,,,anonymous,EN,2.505,2.505,4.152,1,Safari,13.0.4,Macintosh,1680x1050,I agree,1.491,1.491,2.205,1,No,No,40,"Yes, I have received email messages like this in the past.",Man,,White,,0.578,0.578,25.357,1,Steal your info,Hover over links,"The party invite
AT order
Paypal remove credit card
",2.843,8.78,46.814,2,"AT Order -- I got an email saying ""AT order"". It had a typo in it.  I figured out it wasn't really about my order.",Typo,I had a recent order,Click a link to see more info,6.581,22.229,23.368,7,"Link(s) in the email,What the email was about,Sender's name,Company or business the sender belonged to,Mistakes or poor quality",Within the last year,Somewhat disagree,Personal Email account,,This email was of a personal nature,,"A company, business or other organization",,4.168,31.02,31.814,7,Somewhat agree,I'm not sure,Yes,Five to ten years,No,Somewhat agree,16.989,56.55,57.225,9,Click on a link or button,I didn't notice anything that felt off about the subject line,I didn't notice anything that felt off about the sender,"The main body of the email included typos or other issues that I didn't expect to be in an email like this,The main body of the email was missing something that I would expect to be in an email like this,The main body of the email included less information than I expect to be in an email like this",I was not sure about whether it was harmful or not,6,4.141,41.568,42.379,14,Hovered over one or more of the links in the email to see where it went,,I went to the website of the sender,"No, the email was definitely not safe",11,Deleted the email,Not at all,Somewhat,Quite a bit,Moderately,Somewhat,Quite a bit,Moderately,Quite a bit,Strongly disagree,1.533,53.381,54.185,2,"I got an email saying AT order.  I had previously placed an order with Ann Taylor, so I thought it was about that.  Reading the email, it said there was an issue.  But then I noticed a typo.  I went back, and noticed a lot more typos.  I went to Ann Taylor's website and it told me my order had been delivered yesterday! I deleted the email.",Extremely easy,1.668,20.944,21.927,14,4-year college degree,Employed full time,"$75,000 to $99,999",Full,Full,Full,Full,Full,Full,Full,Full,None,"Fell victim to a phishing email message or other scam email,Someone broke in or hacked your computer, mobile device, or account",351,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15",R_2v33GZ2kMZJCpqf,NULL,,,,,,,,
2020-02-07 09:49:25,2020-02-07 10:49:15,IP Address,100,3589,TRUE,2020-02-07 10:49:16,R_Q4JhI7tyZNGBnep,,,,,anonymous,EN,91.424,91.424,93.167,1,Chrome,79.0.3945.130,Macintosh,1440x900,I agree,23.004,23.004,25.236,1,I'm not sure,No,21,"Yes, I have received email messages like this in the past.",Man,,Asian,,14.855,374.121,396.142,5,"The emails are send from unknown, or it not really formal for me.","That email need my important information , like home address password for my book accounts.",The email from chase book maybe not. it say my book accounts need is locked i need pay for $50 to refresh my account. That time I think about this email maybe not from chase book is harmful email.,33.049,204.847,205.304,5,The flake email always want you to send money or get information from you.,Unknown’s  and look different from other emails.,Formal looking and same like the really one,pay for money ,8.491,19.736,21.429,3,Images in the email,Longer than one year ago,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3589,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",R_Q4JhI7tyZNGBnep,failed attention check,,,,,,,,
2020-02-07 18:05:16,2020-02-07 18:05:31,IP Address,100,14,TRUE,2020-02-07 18:05:31,R_2WGO8PS3YxiIp3e,,,,,anonymous,EN,1.781,1.781,2.959,1,Chrome,79.0.3945.130,Macintosh,2560x1440,I agree,1.73,1.73,5.965,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",R_2WGO8PS3YxiIp3e,ineligible,5e3ded1c-d2b9-4923-17f8-ddf435de92b7,7137451,H,Qual2726-0122-PhishingEmails,,2,DNQ,
2020-02-07 18:16:50,2020-02-07 18:16:56,IP Address,100,6,TRUE,2020-02-07 18:16:57,R_3ikwmvEg58XtMbb,,,,,anonymous,EN,0.677,2.271,2.691,3,Chrome,80.0.3987.87,Android 9,360x640,I do not agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Mozilla/5.0 (Linux; Android 9; SM-S367VL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Mobile Safari/537.36",R_3ikwmvEg58XtMbb,declined consent,5e3defc1-b4c4-21b3-ecd2-ff1218c23cdd,7137451,H,Qual2726-0122-PhishingEmails,,2,consent,
2020-02-07 18:18:59,2020-02-07 18:20:02,IP Address,100,62,TRUE,2020-02-07 18:20:03,R_0Sz4kJTt0P0Mlah,,,,,anonymous,EN,1.34,7.35,8.383,5,Safari iPad,9.0,iPad,768x1024,I agree,3.495,3.495,4.302,1,No,No,75,I'm not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,"Mozilla/5.0 (iPad; CPU OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",R_0Sz4kJTt0P0Mlah,ineligible,5e3df015-1254-73ff-762c-6adb28a48e05,7137451,H,Qual2726-0122-PhishingEmails,,2,DNQ,
2020-02-07 18:19:20,2020-02-07 18:20:05,IP Address,100,44,TRUE,2020-02-07 18:20:06,R_3EVZyFWxWle9i1g,,,,,anonymous,EN,4.506,4.506,5.822,1,Chrome,79.0.3945.130,Windows NT 10.0,1920x1080,I agree,8.759,8.759,10.139,1,No,No,72,"No, I do not remember receiving any email messages like this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",R_3EVZyFWxWle9i1g,ineligible,5e3df044-9b95-0ac3-9faa-093372523794,7137451,H,Qual2726-0122-PhishingEmails,,2,DNQ,
2020-02-07 18:10:59,2020-02-07 18:25:16,IP Address,100,856,TRUE,2020-02-07 18:25:16,R_11bbZQshYEDFSPf,,,,,anonymous,EN,15.506,15.506,16.923,1,Firefox,72.0,Macintosh,2560x1440,I agree,4.953,4.953,6.202,1,No,No,60,"Yes, I have received email messages like this in the past.",Woman,,White,,13.748,102.551,113.349,3,The email can install a virus or such on your computer.,"Strange emails
Improper use of the English language
Too good to be true
Something I did not inquire about",Can't think of any at the moment,20.613,103.336,112.751,4,"Received an email stating it was from my bank and a problem with an account, I called the bank to erify if it was legit.",I did not have any account issues,Was not hard at all,I dont know I did not open it,20.568,33.785,34.95,3,What the email was about,Within the last week,Somewhat disagree,Personal Email account,,This email was of a personal nature,,"A company, business or other organization",,11.813,50.225,53.342,7,Somewhat disagree,No,No,More than 10 years,No,Strongly agree,11.585,68.655,69.74,6,I don't remember,The subject line was different than I would expect,The sender's email address looked different than I would expect,I don't remember much about the main body of the email,"Yes, I thought it was harmful",10,12.422,108.419,109.732,23,"Looked more closely at the the email address the email came from,Asked someone else about the email",,I contacted the sender via phone,"No, the email was definitely not safe",11,"Deleted the email,Clicked a button to report the email as spam",Somewhat,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Somewhat,Strongly disagree,13.074,209.05,216.209,10,"I received an email appearing to be from my bank stating there was an issue with one of my accounts.  However, the email just did not look right, and we all know how we live in a world of scammers.  So I did not open the email, but instead called my bank.  Upon discussing the email with my bank I was advised by my bank that it was a scam email.",Somewhat easy,3.342,53.333,57.571,19,High school graduate or GED certificate,Unemployed looking for work,"$35,000 to $49,999",Some,Good,Good,Good,Some,Some,None,Some,None,Stranger used your credit card number without your knowledge or permission,856,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:72.0) Gecko/20100101 Firefox/72.0,R_11bbZQshYEDFSPf,NULL,5e3dee50-40bb-ee33-fab8-ee0525cce57a,7137451,H,Qual2726-0122-PhishingEmails,,1,,165
